epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7702,0.96478,2.95916,1.22761,0.68432,0.57014,0.62038,0.4344,0.98462,1.5,1.17853,0.000138223,0.000138223,0.000138223
2,89.4967,1.04238,1.81387,1.28115,0.65519,0.5862,0.61884,0.41916,1.05365,1.38844,1.23322,0.000275534,0.000275534,0.000275534
3,131.196,1.05197,1.71948,1.28819,0.59856,0.52284,0.55105,0.36649,1.11287,1.56973,1.28947,0.00040614,0.00040614,0.00040614
4,173.093,1.06988,1.69463,1.30052,0.61013,0.52769,0.55173,0.36533,1.12658,1.55134,1.30239,0.000394502,0.000394502,0.000394502
5,214.178,1.05708,1.60877,1.2886,0.6354,0.51978,0.56282,0.37728,1.1186,1.56364,1.30727,0.000377578,0.000377578,0.000377578
6,255.51,1.02008,1.52127,1.2625,0.67586,0.55872,0.61695,0.42678,1.06217,1.37753,1.24486,0.000356542,0.000356542,0.000356542
7,296.602,0.9965,1.44831,1.24648,0.67706,0.55416,0.60924,0.41288,1.09197,1.38319,1.27494,0.000331913,0.000331913,0.000331913
8,337.354,0.98986,1.40424,1.2385,0.69726,0.58997,0.6464,0.45569,1.03068,1.26072,1.20578,0.000304295,0.000304295,0.000304295
9,378.344,0.96713,1.3408,1.22065,0.69319,0.59144,0.65065,0.46097,1.00682,1.2394,1.19804,0.000274371,0.000274371,0.000274371
10,419.154,0.94685,1.28194,1.2108,0.71964,0.62098,0.68135,0.48528,0.99894,1.15515,1.18758,0.000242875,0.000242875,0.000242875
11,463.299,0.92578,1.23524,1.18666,0.71407,0.61228,0.67485,0.47671,1.00541,1.1726,1.19182,0.000210585,0.000210585,0.000210585
12,503.825,0.8903,1.10673,1.16147,0.71122,0.63175,0.68768,0.4971,0.96667,1.11966,1.16096,0.000178295,0.000178295,0.000178295
13,544.726,0.86375,1.04431,1.14514,0.72106,0.64778,0.70093,0.50879,0.95511,1.08749,1.15295,0.000146799,0.000146799,0.000146799
14,585.509,0.83695,0.98495,1.11886,0.7566,0.64114,0.71432,0.5199,0.94638,1.07422,1.1485,0.000116875,0.000116875,0.000116875
15,625.956,0.81034,0.9318,1.10538,0.76892,0.65245,0.72444,0.5309,0.93644,1.03408,1.14588,8.92573e-05,8.92573e-05,8.92573e-05
16,666.075,0.78968,0.89034,1.09114,0.7598,0.6686,0.73183,0.54026,0.9183,1.01205,1.13015,6.46276e-05,6.46276e-05,6.46276e-05
17,706.009,0.77557,0.85618,1.08328,0.78303,0.65654,0.73864,0.54851,0.91567,0.98899,1.12602,4.35918e-05,4.35918e-05,4.35918e-05
18,745.164,0.76463,0.82823,1.07397,0.78154,0.66452,0.74228,0.55158,0.91414,0.98043,1.1237,2.66679e-05,2.66679e-05,2.66679e-05
19,786.832,0.75911,0.80935,1.06803,0.77598,0.67016,0.74392,0.55366,0.91044,0.97505,1.11996,1.42727e-05,1.42727e-05,1.42727e-05
20,826.638,0.75346,0.81098,1.06529,0.78677,0.66696,0.74612,0.55498,0.90513,0.97094,1.11679,6.71131e-06,6.71131e-06,6.71131e-06
